date,year,carrier_code,carrier_name,alliance,aircraft_type,flight_no,origin_iata,dest_iata,tail,review_url,origin_name,origin_city,origin_state,origin_country,origin_lat,origin_lon,dest_name,dest_city,dest_state,dest_country,dest_lat,dest_lon
20250425,2025,AD,Azul,Independent,A20N,AD4085,BSB,BEL,PR-YRH,https://youtu.be/5FSWZkinEIc,Brasilia International Airport - Presidente Juscelino Kubitschek,Brasilia,Federal District,Brazil,-15.869167,-47.920834,Belem/Val-de-Cans-Julio Cezar Ribeiro International Airport,Belem,Para,Brazil,-1.379279,-48.476207
20250426,2025,LA,LATAM,SkyTeam,A320,LA3231,BEL,GRU,PR-MYI,https://youtu.be/gsFDByz7gqM,Belem/Val-de-Cans-Julio Cezar Ribeiro International Airport,Belem,Para,Brazil,-1.379279,-48.476207,Sao Paulo/Guarulhos-Governador Andre Franco Montoro International Airport,Guarulhos / Sao Paulo,Sao Paulo,Brazil,-23.431274,-46.469954
20250427,2025,CM,Copa Airlines,Star Alliance,B39M,CM841,GRU,PTY,HP-9903CMP,https://youtu.be/DatPA_LCFEk,Sao Paulo/Guarulhos-Governador Andre Franco Montoro International Airport,Guarulhos / Sao Paulo,Sao Paulo,Brazil,-23.431274,-46.469954,Tocumen International Airport,Panama City,Panama Province,Panama,9.07136,-79.383499
20250427,2025,CM,Copa Airlines,Star Alliance,B738,CM880,PTY,ATL,HP-1828CMP,https://youtu.be/DatPA_LCFEk,Tocumen International Airport,Panama City,Panama Province,Panama,9.07136,-79.383499,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101
20250530,2025,DL,Delta Air Lines,SkyTeam,B739,DL1687,ATL,SEA,N879DN,,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101,Seattle-Tacoma International Airport,SeaTac / Seattle-Tacoma,Washington,United States,47.447943,-122.310276
20250530,2025,DL,Delta Air Lines,SkyTeam,A359,DL69,SEA,TPE,N517DZ,https://youtu.be/whdm3h9Vojs,Seattle-Tacoma International Airport,SeaTac / Seattle-Tacoma,Washington,United States,47.447943,-122.310276,Taiwan Taoyuan International Airport,Taoyuan,Taoyuan City,Taiwan,25.0777,121.233002
20250601,2025,SQ,Singapore Airlines,Star Alliance,B78X,SQ877,TPE,SIN,9V-SCW,https://youtu.be/-jfnJo-wsAU,Taiwan Taoyuan International Airport,Taoyuan,Taoyuan City,Taiwan,25.0777,121.233002,Singapore Changi Airport,Singapore,Singapore,Singapore,1.35019,103.994003
20250602,2025,TR,Scoot,Independent,B789,TR870,SIN,TPE,9V-OJH,https://youtu.be/v9oCXY_zRIw,Singapore Changi Airport,Singapore,Singapore,Singapore,1.35019,103.994003,Taiwan Taoyuan International Airport,Taoyuan,Taoyuan City,Taiwan,25.0777,121.233002
20250602,2025,JX,Starlux Airlines,Independent,A359,JX10,TPE,ONT,B-58501,https://youtu.be/A4RNMUcSRrM,Taiwan Taoyuan International Airport,Taoyuan,Taoyuan City,Taiwan,25.0777,121.233002,Ontario International Airport,Ontario,California,United States,34.056,-117.600998
20250602,2025,DL,Delta Air Lines,SkyTeam,A321,DL828,ONT,ATL,N325DN,,Ontario International Airport,Ontario,California,United States,34.056,-117.600998,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101
20250623,2025,DL,Delta Air Lines,SkyTeam,A333,DL108,ATL,MAD,N812NW,,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101,Adolfo Suarez Madrid-Barajas Airport,Madrid,Community of Madrid,Spain,40.493407,-3.572249
20250624,2025,UX,Air Europa,SkyTeam,B738,UX9048,MAD,TFN,EC-MJU,,Adolfo Suarez Madrid-Barajas Airport,Madrid,Community of Madrid,Spain,40.493407,-3.572249,Tenerife North-Ciudad de La Laguna Airport,San Cristobal de La Laguna,Canary Islands,Spain,28.482752,-16.341707
20250629,2025,UX,Air Europa,SkyTeam,B738,UX9045,TFN,MAD,EC-LPR,https://youtu.be/ZAZZnutkwbM,Tenerife North-Ciudad de La Laguna Airport,San Cristobal de La Laguna,Canary Islands,Spain,28.482752,-16.341707,Adolfo Suarez Madrid-Barajas Airport,Madrid,Community of Madrid,Spain,40.493407,-3.572249
20250629,2025,DL,Delta Air Lines,SkyTeam,A333,DL127,MAD,JFK,N817NW,,Adolfo Suarez Madrid-Barajas Airport,Madrid,Community of Madrid,Spain,40.493407,-3.572249,John F. Kennedy International Airport,New York,New York,United States,40.639447,-73.779317
20250629,2025,DL,Delta Air Lines,SkyTeam,B739,DL2293,JFK,ATL,N930DZ,,John F. Kennedy International Airport,New York,New York,United States,40.639447,-73.779317,Hartsfield-Jackson Atlanta International Airport,Atlanta,Georgia,United States,33.6367,-84.428101
